id,title,genres,overview,image
16498,Shingeki no Kyojin,"Action, Award Winning, Drama, Gore, Military, Shounen, Survival, Suspense","Genres: Action, Award Winning, Drama, Gore, Military, Shounen, Survival, Suspense. Studio: Wit Studio. Rating: 8.58",https://cdn.myanimelist.net/images/anime/10/47347.webp
1535,Death Note,"Psychological, Shounen, Supernatural, Suspense","Genres: Psychological, Shounen, Supernatural, Suspense. Studio: Madhouse. Rating: 8.62",https://cdn.myanimelist.net/images/anime/1079/138100.jpg
5114,Fullmetal Alchemist: Brotherhood,"Action, Adventure, Drama, Fantasy, Military, Shounen","Genres: Action, Adventure, Drama, Fantasy, Military, Shounen. Studio: Bones. Rating: 9.11",https://cdn.myanimelist.net/images/anime/1208/94745.jpg
30276,One Punch Man,"Action, Adult Cast, Comedy, Parody, Seinen, Super Power","Genres: Action, Adult Cast, Comedy, Parody, Seinen, Super Power. Studio: Madhouse. Rating: 8.47",https://cdn.myanimelist.net/images/anime/12/76049.webp
38000,Kimetsu no Yaiba,"Action, Award Winning, Historical, Shounen, Supernatural","Genres: Action, Award Winning, Historical, Shounen, Supernatural. Studio: ufotable. Rating: 8.39",https://cdn.myanimelist.net/images/anime/1286/99889.webp
31964,Boku no Hero Academia,"Action, School, Shounen, Super Power","Genres: Action, School, Shounen, Super Power. Studio: Bones. Rating: 7.82",https://cdn.myanimelist.net/images/anime/10/78745.webp
11757,Sword Art Online,"Action, Adventure, Fantasy, Romance, Video Game","Genres: Action, Adventure, Fantasy, Romance, Video Game. Studio: A-1 Pictures. Rating: 7.23",https://cdn.myanimelist.net/images/anime/11/39717.webp
11061,Hunter x Hunter (2011),"Action, Adventure, Fantasy, Shounen","Genres: Action, Adventure, Fantasy, Shounen. Studio: Madhouse. Rating: 9.03",https://cdn.myanimelist.net/images/anime/1337/99013.jpg
20,Naruto,"Action, Adventure, Fantasy, Martial Arts, Shounen","Genres: Action, Adventure, Fantasy, Martial Arts, Shounen. Studio: Studio Pierrot. Rating: 8.02",https://cdn.myanimelist.net/images/anime/1141/142503.jpg
40748,Jujutsu Kaisen,"Action, Award Winning, School, Shounen, Supernatural","Genres: Action, Award Winning, School, Shounen, Supernatural. Studio: MAPPA. Rating: 8.49",https://cdn.myanimelist.net/images/anime/1171/109222.webp
22319,Tokyo Ghoul,"Action, Fantasy, Gore, Horror, Psychological, Seinen, Suspense, Urban Fantasy","Genres: Action, Fantasy, Gore, Horror, Psychological, Seinen, Suspense, Urban Fantasy. Studio: Studio Pierrot. Rating: 7.79",https://cdn.myanimelist.net/images/anime/1498/134443.webp
32281,Kimi no Na wa.,"Award Winning, Drama","Genres: Award Winning, Drama. Studio: CoMix Wave Films. Rating: 8.82",https://cdn.myanimelist.net/images/anime/5/87048.jpg
25777,Shingeki no Kyojin Season 2,"Action, Drama, Gore, Military, Shounen, Survival, Suspense","Genres: Action, Drama, Gore, Military, Shounen, Survival, Suspense. Studio: Wit Studio. Rating: 8.54",https://cdn.myanimelist.net/images/anime/4/84177.jpg
9253,Steins;Gate,"Drama, Psychological, Sci-Fi, Suspense, Time Travel","Genres: Drama, Psychological, Sci-Fi, Suspense, Time Travel. Studio: White Fox. Rating: 9.07",https://cdn.myanimelist.net/images/anime/1935/127974.webp
1735,Naruto: Shippuuden,"Action, Adventure, Fantasy, Martial Arts, Shounen","Genres: Action, Adventure, Fantasy, Martial Arts, Shounen. Studio: Studio Pierrot. Rating: 8.29",https://cdn.myanimelist.net/images/anime/1565/111305.webp
33486,Boku no Hero Academia 2nd Season,"Action, School, Shounen, Super Power","Genres: Action, School, Shounen, Super Power. Studio: Bones. Rating: 8.04",https://cdn.myanimelist.net/images/anime/12/85221.webp
21,One Piece,"Action, Adventure, Fantasy, Shounen","Genres: Action, Adventure, Fantasy, Shounen. Studio: Toei Animation. Rating: 8.73",https://cdn.myanimelist.net/images/anime/1244/138851.jpg
35760,Shingeki no Kyojin Season 3,"Action, Drama, Gore, Military, Shounen, Survival, Suspense","Genres: Action, Drama, Gore, Military, Shounen, Survival, Suspense. Studio: Wit Studio. Rating: 8.65",https://cdn.myanimelist.net/images/anime/1173/92110.webp
28851,Koe no Katachi,"Award Winning, Drama, Shounen","Genres: Award Winning, Drama, Shounen. Studio: Kyoto Animation. Rating: 8.93",https://cdn.myanimelist.net/images/anime/1122/96435.webp
38524,Shingeki no Kyojin Season 3 Part 2,"Action, Drama, Gore, Military, Shounen, Survival, Suspense","Genres: Action, Drama, Gore, Military, Shounen, Survival, Suspense. Studio: Wit Studio. Rating: 9.05",https://cdn.myanimelist.net/images/anime/1517/100633.jpg
19815,No Game No Life,"Comedy, Ecchi, Fantasy, Isekai, Strategy Game","Genres: Comedy, Ecchi, Fantasy, Isekai, Strategy Game. Studio: Madhouse. Rating: 8.03",https://cdn.myanimelist.net/images/anime/1074/111944.webp
1575,Code Geass: Hangyaku no Lelouch,"Award Winning, Drama, Mecha, Military, School, Sci-Fi, Super Power","Genres: Award Winning, Drama, Mecha, Military, School, Sci-Fi, Super Power. Studio: Sunrise. Rating: 8.71",https://cdn.myanimelist.net/images/anime/1032/135088.jpg
31240,Re:Zero kara Hajimeru Isekai Seikatsu,"Drama, Fantasy, Isekai, Psychological, Suspense, Time Travel","Genres: Drama, Fantasy, Isekai, Psychological, Suspense, Time Travel. Studio: White Fox. Rating: 8.25",https://cdn.myanimelist.net/images/anime/1522/128039.webp
23273,Shigatsu wa Kimi no Uso,"Drama, Love Polygon, Music, Performing Arts, Romance, School, Shounen","Genres: Drama, Love Polygon, Music, Performing Arts, Romance, School, Shounen. Studio: A-1 Pictures. Rating: 8.64",https://cdn.myanimelist.net/images/anime/1405/143284.jpg
36456,Boku no Hero Academia 3rd Season,"Action, School, Shounen, Super Power","Genres: Action, School, Shounen, Super Power. Studio: Bones. Rating: 7.98",https://cdn.myanimelist.net/images/anime/1319/92084.webp
4224,Toradora!,"Drama, Love Polygon, Romance, School","Genres: Drama, Love Polygon, Romance, School. Studio: J.C.Staff. Rating: 8.03",https://cdn.myanimelist.net/images/anime/13/22128.webp
32182,Mob Psycho 100,"Action, Comedy, Supernatural","Genres: Action, Comedy, Supernatural. Studio: Bones. Rating: 8.49",https://cdn.myanimelist.net/images/anime/8/80356.webp
20507,Noragami,"Action, Mythology, Shounen, Supernatural","Genres: Action, Mythology, Shounen, Supernatural. Studio: Bones. Rating: 7.94",https://cdn.myanimelist.net/images/anime/1886/128266.jpg
40028,Shingeki no Kyojin: The Final Season,"Action, Drama, Gore, Military, Shounen, Survival, Suspense","Genres: Action, Drama, Gore, Military, Shounen, Survival, Suspense. Studio: MAPPA. Rating: 8.79",https://cdn.myanimelist.net/images/anime/1000/110531.jpg
31043,Boku dake ga Inai Machi,"Mystery, Psychological, Seinen, Suspense, Time Travel","Genres: Mystery, Psychological, Seinen, Suspense, Time Travel. Studio: A-1 Pictures. Rating: 8.31",https://cdn.myanimelist.net/images/anime/10/77957.webp
22199,Akame ga Kill!,"Action, Fantasy, Gore, Shounen","Genres: Action, Fantasy, Gore, Shounen. Studio: White Fox. Rating: 7.48",https://cdn.myanimelist.net/images/anime/1429/95946.jpg
269,Bleach,"Action, Adventure, Shounen, Supernatural","Genres: Action, Adventure, Shounen, Supernatural. Studio: Studio Pierrot. Rating: 8.0",https://cdn.myanimelist.net/images/anime/1541/147774.jpg
24833,Ansatsu Kyoushitsu,"Action, Comedy, School, Shounen","Genres: Action, Comedy, School, Shounen. Studio: Lerche. Rating: 8.07",https://cdn.myanimelist.net/images/anime/5/75639.webp
23755,Nanatsu no Taizai,"Action, Adventure, Fantasy, Shounen","Genres: Action, Adventure, Fantasy, Shounen. Studio: A-1 Pictures. Rating: 7.59",https://cdn.myanimelist.net/images/anime/8/65409.jpg
6547,Angel Beats!,"Drama, Fantasy, School","Genres: Drama, Fantasy, School. Studio: P.A. Works. Rating: 8.05",https://cdn.myanimelist.net/images/anime/1244/111115.jpg
20583,Haikyuu!!,"School, Shounen, Sports, Team Sports","Genres: School, Shounen, Sports, Team Sports. Studio: Production I.G. Rating: 8.43",https://cdn.myanimelist.net/images/anime/7/76014.webp
37779,Yakusoku no Neverland,"Mystery, Psychological, Shounen, Survival, Suspense","Genres: Mystery, Psychological, Shounen, Survival, Suspense. Studio: CloverWorks. Rating: 8.47",https://cdn.myanimelist.net/images/anime/1830/118780.webp
30831,Kono Subarashii Sekai ni Shukufuku wo!,"Adventure, Comedy, Fantasy, Isekai, Parody","Genres: Adventure, Comedy, Fantasy, Isekai, Parody. Studio: Studio Deen. Rating: 8.09",https://cdn.myanimelist.net/images/anime/1895/142748.webp
10620,Mirai Nikki (TV),"Action, Gore, High Stakes Game, Psychological, Shounen, Supernatural, Survival, Suspense","Genres: Action, Gore, High Stakes Game, Psychological, Shounen, Supernatural, Survival, Suspense. Studio: asread.. Rating: 7.38",https://cdn.myanimelist.net/images/anime/13/33465.jpg
21881,Sword Art Online II,"Action, Adventure, Fantasy, Romance, Video Game","Genres: Action, Adventure, Fantasy, Romance, Video Game. Studio: A-1 Pictures. Rating: 6.72",https://cdn.myanimelist.net/images/anime/1223/121999.webp
1,Cowboy Bebop,"Action, Adult Cast, Award Winning, Sci-Fi, Space","Genres: Action, Adult Cast, Award Winning, Sci-Fi, Space. Studio: Sunrise. Rating: 8.75",https://cdn.myanimelist.net/images/anime/4/19644.webp
9919,Ao no Exorcist,"Action, Mythology, School, Shounen, Supernatural","Genres: Action, Mythology, School, Shounen, Supernatural. Studio: A-1 Pictures. Rating: 7.47",https://cdn.myanimelist.net/images/anime/10/75195.webp
22535,Kiseijuu: Sei no Kakuritsu,"Action, Gore, Horror, Psychological, Sci-Fi, Seinen, Suspense","Genres: Action, Gore, Horror, Psychological, Sci-Fi, Seinen, Suspense. Studio: Madhouse. Rating: 8.32",https://cdn.myanimelist.net/images/anime/3/73178.webp
30,Shinseiki Evangelion,"Avant Garde, Award Winning, Drama, Mecha, Psychological, Sci-Fi, Suspense","Genres: Avant Garde, Award Winning, Drama, Mecha, Psychological, Sci-Fi, Suspense. Studio: Gainax, Tatsunoko Production. Rating: 8.37",https://cdn.myanimelist.net/images/anime/1314/108941.webp
199,Sen to Chihiro no Kamikakushi,"Adventure, Award Winning, Fantasy, Mythology","Genres: Adventure, Award Winning, Fantasy, Mythology. Studio: Studio Ghibli. Rating: 8.77",https://cdn.myanimelist.net/images/anime/6/79597.webp
33352,Violet Evergarden,Drama,Genres: Drama. Studio: Kyoto Animation. Rating: 8.69,https://cdn.myanimelist.net/images/anime/1795/95088.jpg
44511,Chainsaw Man,"Action, Fantasy, Gore, Shounen, Urban Fantasy","Genres: Action, Fantasy, Gore, Shounen, Urban Fantasy. Studio: MAPPA. Rating: 8.42",https://cdn.myanimelist.net/images/anime/1806/126216.jpg
37450,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,"Drama, Romance, School, Supernatural","Genres: Drama, Romance, School, Supernatural. Studio: CloverWorks. Rating: 8.23",https://cdn.myanimelist.net/images/anime/1301/93586.webp
38691,Dr. Stone,"Adventure, Comedy, Shounen","Genres: Adventure, Comedy, Shounen. Studio: TMS Entertainment. Rating: 8.26",https://cdn.myanimelist.net/images/anime/1613/102576.webp
2904,Code Geass: Hangyaku no Lelouch R2,"Award Winning, Drama, Mecha, Military, Sci-Fi, Super Power","Genres: Award Winning, Drama, Mecha, Military, Sci-Fi, Super Power. Studio: Sunrise. Rating: 8.92",https://cdn.myanimelist.net/images/anime/1088/135089.webp
37999,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,"Comedy, Romance, School, Seinen","Genres: Comedy, Romance, School, Seinen. Studio: A-1 Pictures. Rating: 8.4",https://cdn.myanimelist.net/images/anime/1295/106551.webp
28223,Death Parade,"Adult Cast, Drama, Fantasy, High Stakes Game, Psychological, Suspense","Genres: Adult Cast, Drama, Fantasy, High Stakes Game, Psychological, Suspense. Studio: Madhouse. Rating: 8.13",https://cdn.myanimelist.net/images/anime/5/71553.webp
34572,Black Clover,"Action, Fantasy, Shounen","Genres: Action, Fantasy, Shounen. Studio: Studio Pierrot. Rating: 8.14",https://cdn.myanimelist.net/images/anime/2/88336.jpg
38408,Boku no Hero Academia 4th Season,"Action, School, Shounen, Super Power","Genres: Action, School, Shounen, Super Power. Studio: Bones. Rating: 7.86",https://cdn.myanimelist.net/images/anime/1412/107914.jpg
50265,Spy x Family,"Action, Award Winning, Childcare, Comedy, Shounen, Super Power","Genres: Action, Award Winning, Childcare, Comedy, Shounen, Super Power. Studio: Wit Studio, CloverWorks. Rating: 8.41",https://cdn.myanimelist.net/images/anime/1441/122795.webp
27899,Tokyo Ghoul √A,"Action, Fantasy, Gore, Horror, Psychological, Seinen, Suspense, Urban Fantasy","Genres: Action, Fantasy, Gore, Horror, Psychological, Seinen, Suspense, Urban Fantasy. Studio: Studio Pierrot. Rating: 7.03",https://cdn.myanimelist.net/images/anime/1889/123307.jpg
34134,One Punch Man 2nd Season,"Action, Adult Cast, Comedy, Parody, Seinen, Super Power","Genres: Action, Adult Cast, Comedy, Parody, Seinen, Super Power. Studio: J.C.Staff. Rating: 7.52",https://cdn.myanimelist.net/images/anime/1247/122044.webp
14719,JoJo no Kimyou na Bouken (TV),"Action, Adventure, Historical, Shounen, Supernatural, Vampire","Genres: Action, Adventure, Historical, Shounen, Supernatural, Vampire. Studio: David Production. Rating: 7.87",https://cdn.myanimelist.net/images/anime/3/40409.webp
18679,Kill la Kill,"Action, Comedy, Ecchi, Fantasy, School, Urban Fantasy","Genres: Action, Comedy, Ecchi, Fantasy, School, Urban Fantasy. Studio: Trigger. Rating: 8.03",https://cdn.myanimelist.net/images/anime/1464/111943.jpg
37521,Vinland Saga,"Action, Adventure, Drama, Gore, Historical, Seinen","Genres: Action, Adventure, Drama, Gore, Historical, Seinen. Studio: Wit Studio. Rating: 8.78",https://cdn.myanimelist.net/images/anime/1500/103005.jpg
6702,Fairy Tail,"Action, Adventure, Fantasy, Shounen","Genres: Action, Adventure, Fantasy, Shounen. Studio: Satelight, A-1 Pictures. Rating: 7.57",https://cdn.myanimelist.net/images/anime/5/18179.jpg
35849,Darling in the FranXX,"Drama, Mecha, Romance, Sci-Fi","Genres: Drama, Mecha, Romance, Sci-Fi. Studio: A-1 Pictures, Trigger, CloverWorks. Rating: 7.21",https://cdn.myanimelist.net/images/anime/1614/90408.webp
40456,Kimetsu no Yaiba Movie: Mugen Ressha-hen,"Action, Historical, Shounen, Supernatural","Genres: Action, Historical, Shounen, Supernatural. Studio: ufotable. Rating: 8.53",https://cdn.myanimelist.net/images/anime/1704/106947.jpg
11111,Another,"Gore, Horror, Mystery, School","Genres: Gore, Horror, Mystery, School. Studio: P.A. Works. Rating: 7.46",https://cdn.myanimelist.net/images/anime/4/75509.webp
3588,Soul Eater,"Action, Comedy, Fantasy, School, Shounen","Genres: Action, Comedy, Fantasy, School, Shounen. Studio: Bones. Rating: 7.86",https://cdn.myanimelist.net/images/anime/1071/149486.webp
2001,Tengen Toppa Gurren Lagann,"Adventure, Award Winning, Mecha, Sci-Fi","Genres: Adventure, Award Winning, Mecha, Sci-Fi. Studio: Gainax. Rating: 8.65",https://cdn.myanimelist.net/images/anime/4/5123.webp
35790,Tate no Yuusha no Nariagari,"Action, Adventure, Drama, Fantasy, Isekai","Genres: Action, Adventure, Drama, Fantasy, Isekai. Studio: Kinema Citrus. Rating: 7.9",https://cdn.myanimelist.net/images/anime/1490/101365.webp
28999,Charlotte,"Drama, School, Super Power","Genres: Drama, School, Super Power. Studio: P.A. Works. Rating: 7.76",https://cdn.myanimelist.net/images/anime/1826/147276.webp
29803,Overlord,"Action, Adventure, Fantasy, Isekai","Genres: Action, Adventure, Fantasy, Isekai. Studio: Madhouse. Rating: 7.89",https://cdn.myanimelist.net/images/anime/1945/136600.webp
47778,Kimetsu no Yaiba: Yuukaku-hen,"Action, Historical, Shounen, Supernatural","Genres: Action, Historical, Shounen, Supernatural. Studio: ufotable. Rating: 8.69",https://cdn.myanimelist.net/images/anime/1908/120036.webp
13601,Psycho-Pass,"Action, Adult Cast, Detective, Mystery, Psychological, Sci-Fi, Suspense","Genres: Action, Adult Cast, Detective, Mystery, Psychological, Sci-Fi, Suspense. Studio: Production I.G. Rating: 8.32",https://cdn.myanimelist.net/images/anime/1314/142015.webp
28171,Shokugeki no Souma,"Ecchi, Gourmet, School, Shounen","Genres: Ecchi, Gourmet, School, Shounen. Studio: J.C.Staff. Rating: 8.11",https://cdn.myanimelist.net/images/anime/1444/148976.jpg
37510,Mob Psycho 100 II,"Action, Comedy, Supernatural","Genres: Action, Comedy, Supernatural. Studio: Bones. Rating: 8.78",https://cdn.myanimelist.net/images/anime/1918/96303.jpg
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"Drama, Supernatural","Genres: Drama, Supernatural. Studio: A-1 Pictures. Rating: 8.28",https://cdn.myanimelist.net/images/anime/5/79697.webp
42897,Horimiya,"Romance, School, Shounen","Genres: Romance, School, Shounen. Studio: CloverWorks. Rating: 8.18",https://cdn.myanimelist.net/images/anime/1695/111486.jpg
37430,Tensei shitara Slime Datta Ken,"Action, Comedy, Fantasy, Isekai, Reincarnation, Shounen","Genres: Action, Comedy, Fantasy, Isekai, Reincarnation, Shounen. Studio: 8bit. Rating: 8.13",https://cdn.myanimelist.net/images/anime/1069/123309.jpg
32937,Kono Subarashii Sekai ni Shukufuku wo! 2,"Adventure, Comedy, Fantasy, Isekai, Parody","Genres: Adventure, Comedy, Fantasy, Isekai, Parody. Studio: Studio Deen. Rating: 8.24",https://cdn.myanimelist.net/images/anime/2/83188.webp
15809,Hataraku Maou-sama!,"Comedy, Supernatural","Genres: Comedy, Supernatural. Studio: White Fox. Rating: 7.69",https://cdn.myanimelist.net/images/anime/3/50177.webp
28121,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,"Action, Adventure, Fantasy","Genres: Action, Adventure, Fantasy. Studio: J.C.Staff. Rating: 7.52",https://cdn.myanimelist.net/images/anime/1172/148981.webp
34933,Kakegurui,"Drama, High Stakes Game, Mystery, Psychological, School, Shounen, Strategy Game, Suspense","Genres: Drama, High Stakes Game, Mystery, Psychological, School, Shounen, Strategy Game, Suspense. Studio: MAPPA. Rating: 7.21",https://cdn.myanimelist.net/images/anime/3/86578.webp
226,Elfen Lied,"Action, Drama, Gore, Horror, Psychological, Romance, Seinen, Super Power, Suspense","Genres: Action, Drama, Gore, Horror, Psychological, Romance, Seinen, Super Power, Suspense. Studio: Arms. Rating: 7.45",https://cdn.myanimelist.net/images/anime/1780/121555.webp
